House_ID,Location,Price,Area,Bedrooms,Bathrooms,Garage,YearBuilt
1,Rural,215273.0,1641.0,2.0,1,1,1966
2,Industrial,181050.0,909.0,3.0,3,1,2017
3,Uptown,384097.0,2614.0,2.0,2,1,1997
4,Industrial,164486.0,1274.0,2.0,1,2,2001
5,Industrial,196208.0,1324.0,2.0,2,1,1974
6,Suburbs,243492.0,1836.0,1.0,1,1,1970
7,Uptown,354849.0,2262.0,1.0,1,0,2014
8,Uptown,379757.0,2813.0,2.0,2,0,2012
9,Uptown,309088.0,2520.0,5.0,5,0,2000
10,Industrial,284619.0,1824.0,3.0,2,1,1985
11,Rural,,575.0,5.0,4,0,2015
12,Uptown,289290.0,2219.0,3.0,2,2,1964
13,Industrial,237905.0,1901.0,2.0,1,1,1988
14,Suburbs,289583.0,1825.0,3.0,2,1,2019
15,Rural,181205.0,1124.0,3.0,2,1,1950
16,Suburbs,281417.0,1819.0,2.0,2,0,1972
17,Rural,149387.0,727.0,3.0,2,1,1988
18,Industrial,135137.0,717.0,2.0,1,1,2006
19,Downtown,403790.0,2491.0,3.0,3,1,1983
20,Rural,116141.0,620.0,3.0,3,1,1990
21,Suburbs,298755.0,1984.0,2.0,1,2,2022
22,Industrial,172647.0,1197.0,1.0,1,2,1962
23,Rural,108725.0,1034.0,3.0,2,1,2019
24,Downtown,383930.0,2359.0,3.0,3,1,1955
25,Downtown,420646.0,3001.0,1.0,1,1,2001
26,Uptown,321813.0,,5.0,5,0,1952
27,Uptown,308888.0,2049.0,1.0,1,1,2012
28,Suburbs,262184.0,1882.0,3.0,2,0,1998
29,Rural,162248.0,857.0,5.0,4,1,1996
30,Rural,124652.0,907.0,2.0,1,1,2004
31,Uptown,326448.0,2209.0,2.0,1,0,2013
32,Rural,161602.0,1175.0,2.0,1,2,2014
33,Rural,77595.0,575.0,2.0,2,2,2016
34,Downtown,329626.0,2688.0,2.0,1,1,1964
35,Uptown,314077.0,1966.0,3.0,2,1,1981
36,Industrial,169327.0,1022.0,1.0,1,2,2017
37,Uptown,365545.0,2312.0,3.0,3,0,1967
38,Industrial,253767.0,1580.0,5.0,4,1,1992
39,Downtown,442882.0,2825.0,4.0,4,0,1984
40,Suburbs,242003.0,1851.0,3.0,3,1,2007
41,Rural,149049.0,1277.0,2.0,1,0,1982
42,Downtown,349873.0,2218.0,3.0,3,2,1963
43,Rural,149074.0,827.0,3.0,3,2,1983
44,Suburbs,235567.0,1664.0,3.0,2,0,2010
45,Suburbs,266135.0,1663.0,2.0,1,1,1953
46,Downtown,358638.0,2517.0,4.0,4,2,2008
47,Suburbs,275967.0,1880.0,3.0,3,1,1978
48,Industrial,256636.0,1407.0,2.0,1,2,1955
49,Suburbs,244561.0,1939.0,2.0,2,1,1998
50,Rural,170085.0,1493.0,3.0,3,1,1989
51,Rural,184507.0,1107.0,4.0,4,0,2014
52,Rural,129938.0,788.0,3.0,2,0,2018
53,Rural,161204.0,1131.0,3.0,3,1,1976
54,Industrial,180629.0,1271.0,1.0,1,1,1955
55,Uptown,354883.0,2497.0,3.0,2,1,1962
56,Downtown,361349.0,2811.0,3.0,3,1,2013
57,Rural,151225.0,972.0,1.0,1,1,2011
58,Suburbs,274899.0,1673.0,2.0,1,2,1968
59,Rural,222557.0,1207.0,3.0,2,2,1992
60,Suburbs,297963.0,1840.0,2.0,1,1,1969
61,Suburbs,357659.0,2377.0,3.0,2,2,2017
62,Rural,111632.0,1103.0,2.0,2,1,1993
63,Industrial,223616.0,1387.0,1.0,1,1,1972
64,Suburbs,259167.0,1772.0,2.0,1,2,1951
65,Suburbs,359490.0,2393.0,5.0,4,0,1971
66,Rural,109585.0,968.0,4.0,4,0,2006
67,Suburbs,208013.0,1892.0,5.0,4,2,2021
68,Suburbs,220030.0,1360.0,3.0,3,1,1956
69,Rural,43805.0,500.0,2.0,1,2,2005
70,Rural,123712.0,1033.0,3.0,3,2,2016
71,Downtown,362043.0,2550.0,3.0,2,0,1965
72,Industrial,187519.0,1619.0,4.0,3,2,2000
73,Industrial,197087.0,1430.0,1.0,1,1,2021
74,Suburbs,343808.0,2220.0,3.0,2,1,1961
75,Industrial,227521.0,1634.0,2.0,2,1,2002
76,Suburbs,221154.0,1696.0,2.0,2,2,1954
77,Downtown,355079.0,2531.0,3.0,3,0,1976
78,Rural,174595.0,1265.0,3.0,3,1,1961
79,Rural,83988.0,773.0,2.0,2,1,1966
80,Rural,241572.0,1844.0,2.0,1,1,1955
81,Industrial,238972.0,1869.0,3.0,2,1,1954
82,Downtown,376541.0,2640.0,3.0,3,0,2006
83,Industrial,94343.0,595.0,4.0,3,0,1977
84,Industrial,247693.0,1680.0,5.0,5,1,2018
85,Downtown,394273.0,2869.0,3.0,2,2,2008
86,Downtown,461890.0,2915.0,2.0,1,0,1982
87,Downtown,320278.0,2208.0,3.0,2,0,2011
88,Downtown,370031.0,2388.0,3.0,2,2,1999
89,Rural,150262.0,1007.0,2.0,2,0,1968
90,Uptown,352349.0,2604.0,4.0,4,2,2018
91,Uptown,327496.0,2221.0,1.0,1,1,2015
92,Downtown,431142.0,2883.0,4.0,3,2,1996
