House_ID,Location,Price,Area,Bedrooms,Bathrooms,Garage,YearBuilt
1001,Southside,240748.0,1555,3,3,2,1994
1002,Westside,483294.0,2975,3,2,1,2020
1003,Southside,192096.0,1544,4,3,0,2005
1004,Northside,540073.0,3303,3,3,0,2023
1005,Southside,269818.0,1652,2,1,1,1996
1006,Northside,438999.0,2827,2,2,0,1991
1007,Eastside,388240.0,2068,2,2,0,2003
1008,Northside,560979.0,3639,3,2,1,2000
1009,Southside,260366.0,1589,2,1,1,1993
1010,Northside,559839.0,3287,2,2,1,2008
1011,Southside,242865.0,1456,3,2,0,1995
1012,Westside,450038.0,2988,3,3,0,1986
1013,Eastside,,1643,3,2,0,2008
1014,Westside,480746.0,2594,2,1,0,2007
1015,Westside,457974.0,2930,3,2,0,2013
1016,Southside,158380.0,943,3,2,1,1987
1017,Southside,305577.0,1942,2,2,0,2012
1018,Northside,550431.0,3248,2,1,1,1982
1019,Southside,181346.0,1283,4,3,2,2003
1020,Westside,355534.0,2369,2,1,0,1987
1021,Eastside,249715.0,1582,2,1,1,2007
1022,Westside,479315.0,2997,3,2,1,2019
1023,Northside,484536.0,3198,4,4,1,1993
1024,Westside,370951.0,2391,2,2,0,1999
1025,Eastside,316013.0,1936,3,2,0,2015
1026,Northside,490475.0,3038,1,1,1,2022
1027,Northside,475842.0,3045,3,3,1,2007
1028,Northside,425305.0,2935,2,2,1,2003
1029,Northside,520079.0,3181,3,3,0,1997
1030,Northside,435647.0,2658,2,1,0,1997
1031,Southside,187240.0,1291,3,2,0,2015
1032,Westside,519634.0,3169,1,1,1,1989
1033,Westside,524668.0,3141,2,2,0,2005
1034,Westside,442315.0,2607,2,1,1,2013
1035,Eastside,115232.0,938,3,3,0,2022
1036,Westside,495313.0,2968,3,2,2,2011
1037,Westside,394263.0,2430,2,2,0,1997
1038,Eastside,216397.0,1129,2,2,1,1980
1039,Southside,244395.0,1516,1,1,0,1989
1040,Eastside,189012.0,1121,3,3,2,2001
1041,Northside,542748.0,3367,1,1,0,1998
1042,Northside,554304.0,3401,4,3,1,1982
1043,Southside,230159.0,1444,2,2,0,2004
1044,Eastside,312573.0,1926,3,2,1,2023
1045,Southside,193269.0,1177,2,2,2,1989
1046,Southside,170971.0,964,1,1,1,1981
1047,Northside,435081.0,2618,3,3,0,2008
1048,Southside,342114.0,2266,1,1,0,1984
1049,Westside,423323.0,2627,2,2,1,2009
1050,Southside,144592.0,1082,3,3,2,2012
1051,Westside,444405.0,2714,1,1,1,2023
1052,Westside,484654.0,2944,3,3,0,1992
1053,Eastside,361246.0,2417,2,1,1,1992
1054,Eastside,286318.0,1768,3,3,0,2020
1055,Eastside,288582.0,1760,2,1,0,2022
1056,Westside,401930.0,2460,3,2,1,1992
1057,Southside,184634.0,1363,2,1,0,2019
1058,Northside,551917.0,3458,2,2,1,1997
1059,Northside,496271.0,3199,3,3,0,1984
1060,Northside,477974.0,3152,2,2,2,1996
1061,Southside,210259.0,1379,1,1,1,2015
1062,Westside,403099.0,2361,3,2,0,2003
1063,Southside,70567.0,498,3,2,1,2016
1064,Northside,470804.0,3138,3,2,0,1992
1065,Westside,270670.0,1823,3,3,1,2006
1066,Eastside,284133.0,1811,3,3,2,1994
1067,Westside,474692.0,2891,3,2,2,2004
1068,Southside,259253.0,1759,1,1,0,1981
1069,Westside,481793.0,2736,3,2,1,1980
1070,Southside,202177.0,1427,3,3,1,2014
1071,Southside,138459.0,1057,3,2,1,2013
1072,Westside,384071.0,2271,2,1,0,1981
1073,Southside,187399.0,1187,2,2,0,2004
1074,Northside,448098.0,2534,3,2,1,2022
1075,Southside,142269.0,881,3,3,0,2016
1076,Northside,502679.0,3053,2,2,1,2018
1077,Westside,398897.0,2296,1,1,0,1993
1078,Northside,390992.0,2484,4,4,0,1989
1079,Northside,486899.0,3290,2,1,0,2002
1080,Southside,143020.0,1037,3,2,1,1989
1081,Eastside,331053.0,2008,3,2,1,1994
1082,Southside,277638.0,1955,2,2,1,1982
1083,Northside,545600.0,3550,3,3,1,1980
1084,Westside,476186.0,3283,2,2,2,2002
1085,Northside,581938.0,3597,3,2,1,2018
1086,Westside,391150.0,2590,3,3,1,1988
1087,Southside,165408.0,1322,3,2,1,2016
1088,Westside,461130.0,2599,4,3,1,2003
1089,Westside,426259.0,2779,1,1,1,2003
1090,Eastside,308710.0,1768,4,3,0,1983
1091,Northside,477313.0,2890,3,2,0,2022
1092,Eastside,284265.0,1789,4,4,1,2010
1093,Southside,174360.0,1141,2,2,0,2011
1094,Northside,544640.0,3664,2,1,0,1983
1095,Eastside,288830.0,1836,1,1,1,2009
1096,Westside,371373.0,2323,2,2,1,1990
1097,Eastside,292690.0,1734,4,3,1,1995
1098,Westside,413469.0,2426,2,2,0,1992
1099,Eastside,386633.0,2244,1,1,2,1997
1100,Northside,521739.0,3390,2,1,1,1999
1101,Northside,576243.0,3473,2,2,1,2021
1102,Westside,456663.0,3099,3,3,1,1986
1103,Eastside,355256.0,2317,2,1,0,1993
1104,Westside,495893.0,3293,2,1,1,1999
1105,Southside,233482.0,1435,2,1,1,1990
1106,Southside,95615.0,825,2,1,0,1981
1107,Southside,211976.0,1275,1,1,2,2006
1108,Southside,281646.0,1762,1,1,1,2004
1109,Southside,200807.0,1038,2,1,1,2023
1110,Northside,570199.0,3358,3,3,0,1986
1111,Northside,471180.0,2850,1,1,0,2020
1112,Southside,181590.0,1200,1,1,1,2012
1113,Southside,241314.0,1565,3,3,1,2019
1114,Southside,115187.0,835,3,3,1,1986
1115,Westside,550351.0,3480,3,2,0,2007
1116,Eastside,283480.0,1528,3,3,0,2002
1117,Westside,528804.0,3225,1,1,2,1983
1118,Westside,414122.0,2522,2,1,2,2017
1119,Eastside,345105.0,2227,2,2,1,2006
1120,Westside,425051.0,2779,1,1,1,1996
1121,Northside,407685.0,2438,3,2,0,2016
1122,Northside,474596.0,2743,3,2,1,2006
1123,Southside,193187.0,1276,2,2,1,2001
1124,Westside,478791.0,3198,2,1,1,2013
1125,Eastside,252612.0,1787,2,1,1,1986
1126,Eastside,331179.0,2019,2,2,1,1981
1127,Westside,434441.0,2686,3,3,0,2020
1128,Westside,331260.0,1979,2,1,0,2003
1129,Southside,259073.0,1806,3,3,0,2004
1130,Westside,514680.0,3193,2,1,0,2000
1131,Eastside,278563.0,1847,2,2,2,2002
1132,Westside,438759.0,2747,3,2,2,1986
1133,Southside,168561.0,1192,3,2,2,2008
1134,Northside,522826.0,3518,1,1,1,1984
1135,Westside,414616.0,2567,3,2,0,1988
1136,Westside,499903.0,3163,3,3,0,2012
1137,Northside,491331.0,3067,2,1,1,2023
1138,Southside,122117.0,739,2,1,0,2009
1139,Westside,491178.0,2966,1,1,0,1986
1140,Southside,228234.0,1239,1,1,1,2023
1141,Southside,89126.0,400,2,2,2,2015
1142,Southside,211149.0,1320,3,3,1,1981
1143,Westside,483669.0,3001,2,2,0,1981
1144,Westside,444391.0,2896,1,1,1,1996
1145,Northside,471226.0,2899,2,2,1,1981
